question,answer,category
Classification of LeFort fractures,"Midface fx resulting in detachment of maxilla from skull, all the fractures involve pterygoid plate; Dx with CT; LeFort I: palate mobile (fx below nose); LeFort II: palate + nose mobile (inferior orbits); LeFort III: entire face is mobile (zygoma bone), ± CSF rhinorrhea. IV: a III that involves the frontal bone",Trauma
"SSx, Dx and Tx of mandibular fractures","SSx: malocclusion, trismus, lower lip paresthesias; BODY = most common; Dx: CT or panorex; Tx: manage non-condylar fx as open fx with empiric PCN/Clinda, ENT/OMFS consult",Trauma
"SSx, Dx and Tx of orbital fractures","SSx: diplopia, proptosis, limited EOM, ↓ visual acuity; check for infraorbital paresthesia, inhibited upward gaze, diplopia, globe injury; Dx: CT orbit; Tx: consult ophtho/ENT, decongestants, abx (Augmentin) for sinus involvement",Trauma
Dx and Tx of nasal septal hematomas,Dx: dark red mass/hematoma associated with nasal fx/trauma; Tx: MUST incise & pack (NO needle) to prevent saddle nose deformity/ pressure necrosis,Trauma
Classification of neck zones,"Zone I: sternum/clavicles to cricoid cartilage; Zone II: cricoid to angle of mandible, (most common site of injury); Zone III: angle of mandible to base of skull",Trauma
Management of penetrating neck injury,"Intubate early, straight to OR if unstable vitals or HARD signs of vascular injury (""HARD BRUIT"": Hypotension (shock), Arterial bleeding, Rapidly expanding hematoma, Deficit [pulse/neuro], Bruit/thirll), airway obstruction; Soft signs: CT angio, possible scope/exploration if stable",Trauma
Possible complications of blunt neck injury,"Pseudoaneurysm, carotid artery dissection, tracheal injury; Dx: CT angio, if unstable, intubate/ENT consult; blunt neck trauma + neuro findings = carotid artery dissection until proven otherwise",Trauma
"SSx, Dx and Tx of traumatic aortic dissection","SSx: consider when- high speed deceleration, chest pain/back pain, new murmur, pulse deficits BUT exam often unremarkable; Dx: stable- CXR (look for mediastinal widening but 1/3 are normal, obscured aortic knob, L apical pleural cap, R tracheal deviation, ↓ L bronchus/↑ R bronchus, loss of AP window, R displaced NGT), VERY stable- get CTA; if (+) dispo to OR on beta blocker for BP control; aortic isthmus = most common location; most die in the field",Trauma
Dx and Tx of flail chest,"Dx: ≥3 adjacent rib fractures at 2 different points; leads to paradoxical chest motion with respirations; Association: pulmonary contusion; Tx: early intubation, ± chest tube",Trauma
Appropriate imaging to eval for sternal fracture,Must get lateral CXR; consider CT if high suspicion and XR (-),Trauma
Identify high risk rib fractures,1-2: associated with vascular and broncheal injuries; 9-11: associated with liver and spleen lacerations; 4-9: most common location; multiple ribs: associated with underlying lung contusion,Trauma
Indications for OR thoracostomy with hemothorax,"Unstable vitals, initial chest tube output >1.5L (20cc/kg) OR >200/hr over 3-4hr (3cc/kg), persistent bleeding >7cc/kg/hr, persistent air leak",Trauma
Management of traumatic pneumothorax,"Small: O2, repeat CXR; Large: chest tube; **Pearl: if intubating with ptx, do chest tube first to prevent tension ptx**",Trauma
Indications for ED thoracotomy,"Penetrating traumatic cardiac arrest: field arrest with intial vitals, ED arrest, SBP <50 after IVF; Blunt trauma: ED arrest; Other: suspected air embolism",Trauma
General approach to traumatic abdominal injury,"OR (penetrating): unstable vitals, peritonitis w/ (+) FAST, evisceration, or transabdominal GSW; STABLE- get CT, DO NOT send unstable patient to CT; Tx: blood for shock even if normal initial H/H",Trauma
Most common injury sites for abdominal GSW and stab wound,GSW: small bowel; SW: Liver (Blunt abdominal trauma: spleen > liver),Trauma
"SSx, Dx and Tx of diaphragmatic injuries","Both sides are injured equally, but historically L>R for blunt (more common) & penetrating; consider with any injury nipple to navel; frequently missed/delayed dx; SSx: SOB, chest/abd pain, n/v, Kehr sign (referred L shoulder pain); Dx: CXR with coiled NGT in chest = pathognomonic, blurred hemidiaphragm, air/fluid level in chest; CXR & CT miss 50%; Definitive Dx and Tx: laparoscopy/otomy in OR",Trauma
Abdominal pain 2/2 bike handlebar injury,Duodenal/pancreas injury,Trauma
Abdominal pain after lap belt injury,Small bowel injury. Part of the “seat belt syndrome” which includes: 1. Transverse abdominal wall contusion 2. Chance fracture 3. Abdominal visceral trauma (e.g. small bowel injury).,Trauma
What volume of fluid/bleeding is required for positive FAST?,What traumatic injuries would NOT be identified on FAST?,Trauma
"Poor sensitivity for solid-organ injury, hollow viscous injury, and retroperitoneal injury",When is DPL considered positive?,Trauma
"Use if unstable + no US or equivocal FAST; (+) DPL if (Rule of 10's)- 10 mL initial gross blood/bile/feces; if no gross contents, infuse 1000cc and then aspirate: (+)DPL if >10,000 RBCs (penetrating) or >100,000 RBCs (blunt)",How to Dx retroperitoneal injuries,Trauma
"CT with IV constrast, FAST will be negative","SSx, Dx and Tx of scrotal/ testicular injuries",Trauma
"SSx: straddle injury, hematuria, scrotal ecchymosis/hematoma/ttp; Dx: doppler US; Tx: urology consult",Time limit to reimplant amputated penis,Trauma
"SSx, Dx and Tx of bladder/ urethral Injuries","SSx red flags: pelvic fx, gross hematuria, blood at meatus, urinary retention, high prostate, perineal brusiing, females may have vaginal bleeding; Dx: NO FOLEY, RUG first to eval for urethral injury, CT cystogram for bladder injury, urology consult; Tx: partial urethral lacs typically treated with Foley, complete urethral lacs require surgery",Trauma
Interpretation of RUG for possible urethral injuries,"Anterior Urethral Injury: distal to UG diaphragm, usually external signs of trauma, RUG: small extravasation with bladder filling; Posterior Urethral Injury: proximal to UG diaphragm, usually normal external exam, RUG large extravasation into pelvis",Trauma
"SSx, Dx and Tx of bladder rupture","SSx red flags: pelvic fx, gross hematuria (most common); Dx: retrograde cystogram; Tx: Intraperitoneal (contrast posterior to bladder) → OR (nonemergent), Extraperitoneal (flame pattern) → Foley (no OR)",Trauma
"SSx, Dx and Tx of renal injuries","SSx: blunt trauma causes 90% renal injuries, gross hematuria (microscopic hematuria is rare for significant injury); Dx: CT with IV contrast; Tx: all ureteral injuries go to OR, most blunt renal injuries are nonoperative; Renal injury is rarely in isolation - look for other injuries",Trauma
Management of severe head trauma,Intubate with GCS ≤ 8; remove c-collar + hold inline cervical stabilization for intubation; hyperventilation → cerebral vasoconstriction → ↓ ICP,Trauma
What are the NEXUS Criteria and what are they used for?,"Used to clear c-spine; DOES NOT include ""cervical PAIN"": cervical ttp, pain that distracts, AMS, intoxication, neuro deficits",Trauma
How to read C-spine XR?,"Lateral: Ant/Post spinal line & spinal laminar lines should be smooth; normal pevertebral space- 6mm at C2 & 22mm at C6; Open mouth: C1 and C2 lateral edges should align, look at odontoid for fx",Trauma
Identify unstable C-spine injuries,"""Jefferson Bit Off A Hangman's Thumb""; Jefferson fx (C1 burst fracture 2/2 axial load), Bilateral facet joint dislocation (2/2 hyperflexion), Odontoid fx (Type I - tip [stable fx]; Type II - neck [most common and unstable]; Type III - body [unstable] ), Altanto-axial dislocation (C1/C2 dislocation), Hangman's fx (bilateral C2 pedicle fracture 2/2 hyperextension), Teardrop fx (anterior & inferior vertebral body fx with interspinous ligament rupture, 2/2 flexion > extension)",Trauma
"Identify landmarks for anterior, middle and posterior spinal column (Denis model)",Classifiction for thoracolumbar fx; Ant column: anterior half of vertebral body; Middle column: posterior half of vertebral body; Post column: posterior to vertebral body; > 2 columns = unstable,Trauma
Most common location of spinal fractures,T11-L2 (50%). **Spinal fractures often occur in multiples**,Trauma
"Describe wedge, burst and Chance fractures","Wedge: compression of anterior column; Burst: crush with multiple fragments involving anterior & middle columns; Chance: fracture through all columns, associated with lap belt injuries",Trauma
"Identify spinal cord syndromes: Central Cord, Anterior Cord, Brown-Séquard","Central cord: 2/2 hyperextension, usually elderly person hitting chin, sensory (cape distribution) & motor deficit, UE > LE; Anterior cord: 2/2 hyperflexion, bilateral motor paralysis, loss of pain/temp, intact vibration & proprioception; Brown-Séquard: penetrating trauma to 1/2 spinal cord, ipsilateral loss of motor, vibration & proprioception, contralateral loss of pain/temp",Trauma
"Identify landmarks for dermatomes: C6/7/8, T4, T10, L1, L4/L5/S1, S3-5",C6- 1st dorsal web space; C7- middle finger; C8- pinky finger; T4nipple; T10- umbilicus; L1- inguinal ligament; L4- patella; L5- big toe; S1- 5th toe; S3-5- anus,Trauma
What are the clinical findings in Neurogenic Shock?,"Loss of vasomotor & sympathetic tone; Classic features: hypotension (vasodilation), bradycardia (unopposed vagal tone), poikilothermia (peripheral vasodilation, ""warm shock""); Rx: IVF, pressors, Atropine",Trauma
What is spinal shock?,"Not true shock, more of a spinal ""stun"" 2/2 no circulatory involvement; SSx: areflexia & flaccid paralysis (all transient), relative bradycardia; first reflex to return is bulbocavernosus",Trauma
Indication for perimortem Csection,gestation ≥ 24 weeks + loss of maternal vital signs; best if delivery performed ≤ 5 minutes after arrest; does not worsen maternal outcome,Trauma
What population is at highest risk for intimate partner violence?,Pregnant women,Trauma
Differential for serious complications in pregnant trauma?,"Placental abruption, maternofetal hemorrhage, uterine rupture, preterm labor",Trauma
Review blast injury Types I-IV,"1°: blast shock wave (hollow viscus injury; TM rupture = most common blast injury, blast lung), 2°: projectiles from explosion (penetrating trauma, amputations, lacs); 3°: blunt trauma from explosion (crush injuries, blunt trauma); 4°: environmental contamination (burns, inhalation injury, smoke, radiation, etc.)",Trauma
Review concerning specialized blast-related injuries,"TM rupture: most common injury, CXR if (+) to look for blast lung; Blast Lung: pulmonary barotrauma, most common cause of death, Dx: CXR (patchy opacities in butterfly pattern); Others: delayed intraabdominal injuries, compartment syndrome",Trauma
Immediate and delayed possible complications with myocardial contusion,"Immediate: arrhythmia (sinus tach most common); Delayed: pericardial effusion (most common complication 2 weeks out), MI/ CHF, valvular injuries (aortic valve + AR most common), ventricular wall rupture (rare; most common cause of death in nonpenetrating cardiac injuries); Sternal fx = most common associated fx. Screen with ekg not troponin",Trauma
What is the most common cause of in-hospital death following near-hanging?,Pulmonary edema,Trauma
What criteria require transfer of a patient to a trauma center?,"Abnormal vitals, GCS < 14, penetrating trauma, severe blunt injuries (flail chest, multiple long bone fx), pelvic or skull fx, neurological deficits, high mechanism MVC or ped vs auto, elderly or kids, anticoagulant use, pregnant > 20wks",Trauma
Potential complication of not repairing a galeal laceration?,Loss of the frontalis muscle function,Trauma
"Dx and Tx: Patient presents 2 days after a femur fracture w/ AMS, hypotension, hypoxica and petechiae.",Fat embolism to the lungs. Supportive care. Aggressively intubate because of the development of ARDS and AMS. High risk for DIC. There is no specific treatment.,Trauma
What type of brain bleed is associated with basilar skull fractures?,Epidural hematoma. Temporal bone is most fractured bone in the base of the skull. Middle meningeal artery runs along the temporal bone.,Trauma
